date,max_temp,min_temp,avg_temp,temp_diff
2026-02-23,12.8,7.2,10.0,5.6000000000000005
2026-02-24,9.7,2.9,6.3,6.799999999999999
2026-02-25,12.1,1.3,6.7,10.799999999999999
2026-02-26,13.9,0.0,6.95,13.9
2026-02-27,13.6,1.5,7.55,12.1
2026-02-28,12.8,2.3,7.550000000000001,10.5
2026-03-01,8.8,2.1,5.45,6.700000000000001
2026-03-02,6.1,-1.5,2.3,7.6
